出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/12/21","114/11","1101","台泥","水泥工業","13121753","13882248","16502520","-5.478183360504725","-20.48636814256247","136442298","138365933","-1.3902518909766612","-"
"114/12/21","114/11","1102","亞泥","水泥工業","5885302","5833267","7193978","0.8920387151831041","-18.191270532103378","64867584","69204590","-6.266934028508802","-"
"114/12/21","114/11","1103","嘉泥","水泥工業","249102","246707","259190","0.970787209118509","-3.8921254678035417","2740490","2700778","1.470391124335284","-"
"114/12/21","114/11","1104","環泥","水泥工業","636793","723076","682994","-11.932770552473047","-6.764481093538157","7142885","7198374","-0.7708546402284738","-"
"114/12/21","114/11","1108","幸福","水泥工業","326349","326009","410786","0.10429159931167545","-20.55498483395247","4077738","4363496","-6.548831487412845","-"
"114/12/21","114/11","1109","信大","水泥工業","354802","325978","378299","8.842314512022284","-6.211224454730253","4015900","4259037","-5.708731809561645","-"
"114/12/21","114/11","1110","東泥","水泥工業","210022","263053","290400","-20.15981570253903","-27.67837465564738","2615364","2612481","0.11035486956651551","-"
"114/12/21","114/11","1201","味全","食品工業","1651571","1801807","1831315","-8.338073944656669","-9.815023630560553","20171168","21623595","-6.716861835416359","-"
"114/12/21","114/11","1203","味王","食品工業","434162","448604","573608","-3.2193203805583543","-24.310330399854955","5185634","5629565","-7.885706977359707","-"
"114/12/21","114/11","1210","大成","食品工業","8857963","8433533","8968687","5.032647646010278","-1.2345619821496725","92987361","94407978","-1.504763718167971","-"
"114/12/21","114/11","1213","大飲","食品工業","23757","25876","16519","-8.18905549543979","43.81621163508687","276417","174211","58.66793715666634","113年11月因產能不足,恢復產能後及積極推展業務,致使114年11月營收成長"
"114/12/21","114/11","1215","卜蜂","食品工業","2482253","2347307","2435339","5.748971054915271","1.926384786676516","25681707","25524129","0.6173687650614836","-"
"114/12/21","114/11","1216","統一","食品工業","51161260","54226663","51741861","-5.652944198318085","-1.1221107798963783","620552326","606191167","2.3690808744496272","-"
"114/12/21","114/11","1217","愛之味","食品工業","324091","364631","362132","-11.118089246388815","-10.504733080755084","4720986","4784199","-1.3212870116815794","-"
"114/12/21","114/11","1218","泰山","食品工業","755967","791573","841206","-4.4981322000624075","-10.13295197609147","9284546","9952632","-6.712656511363025","-"
"114/12/21","114/11","1219","福壽","食品工業","1202794","1266703","1270951","-5.045302647897731","-5.362677239327087","13075542","13077143","-0.012242735282469573","-"
"114/12/21","114/11","1220","台榮","食品工業","360840","345775","397129","4.356879473646157","-9.137836823802845","3107651","3168228","-1.9120151706253463","-"
"114/12/21","114/11","1225","福懋油","食品工業","992489","967903","1152454","2.5401305709353106","-13.880380475055837","11064053","11789378","-6.152360200851987","-"
"114/12/21","114/11","1227","佳格","食品工業","2611225","2154553","2760180","21.195672605872307","-5.396568339745959","25102144","25627663","-2.050592752058586","-"
"114/12/21","114/11","1229","聯華","食品工業","1273348","1015427","1110299","25.400250338035132","14.685143371290076","12052356","11717243","2.85999872154226","-"
"114/12/21","114/11","1231","聯華食","食品工業","1019108","1058351","1016716","-3.707938103710395","0.23526727227662395","11563927","10805122","7.022641669386056","-"
"114/12/21","114/11","1232","大統益","食品工業","1822177","1860932","1881431","-2.082558631911322","-3.149411272589853","19519541","20116308","-2.9665831324515413","-"
"114/12/21","114/11","1233","天仁","食品工業","176031","181007","193364","-2.7490649532890994","-8.96392296394365","1962473","2005457","-2.1433518644378813","-"
"114/12/21","114/11","1234","黑松","食品工業","684260","877976","818973","-22.063928854547278","-16.44901602372728","8870612","9544742","-7.062841510016719","-"
"114/12/21","114/11","1235","興泰","食品工業","24760","20135","13168","22.969952818475292","88.03159173754557","164554","101105","62.755551159685474","泰宇網通累計1-11月營收較去年同期增加 74,891 仟元"
"114/12/21","114/11","1236","宏亞","食品工業","120899","116272","158057","3.979461951286638","-23.509240337346654","1616648","1712491","-5.596700946165557","-"
"114/12/21","114/11","1256","鮮活果汁-KY","食品工業","240414","232172","193180","3.549954344193098","24.450771301376953","3714117","3768844","-1.4520898185226028","-"
"114/12/21","114/11","1301","台塑","塑膠工業","13389395","13410015","18146582","-0.15376567438589742","-26.21533355427485","161106668","183595063","-12.248910527621323","-"
"114/12/21","114/11","1303","南亞","塑膠工業","21130715","21229355","21965473","-0.46463964637644434","-3.800318800328133","237805161","236183403","0.6866519744403886","-"
"114/12/21","114/11","1304","台聚","塑膠工業","3258556","3264816","4496431","-0.19174128036618296","-27.530167815318414","40750467","46842132","-13.004670666996967","-"
"114/12/21","114/11","1305","華夏","塑膠工業","621233","557976","969641","11.336867535521241","-35.93164892986167","8564632","10339660","-17.16717957843875","-"
"114/12/21","114/11","1307","三芳","塑膠工業","850259","913957","903107","-6.969474493876627","-5.851798291896752","10015799","9971684","0.4424027075065756","-"
"114/12/21","114/11","1308","亞聚","塑膠工業","468030","440401","532717","6.273600650316416","-12.14284507534019","5250036","5476913","-4.142424756427571","-"
"114/12/21","114/11","1309","台達化","塑膠工業","909181","1059100","1663667","-14.155320555188368","-45.35078233805203","13442212","17066339","-21.23552684615019","-"
"114/12/21","114/11","1310","台苯","塑膠工業","579949","595593","963295","-2.626625900573042","-39.795285971587106","8137614","10425341","-21.943905719726576","-"
"114/12/21","114/11","1312","國喬","塑膠工業","2089472","2277562","1317977","-8.25839208767972","58.53630222682187","20350623","14988765","35.77251361269591","今年三月份重要子公司開始投產銷售，不論單月營收或累計營收，均較去年同期增加，惟國際經濟環境仍紛擾，市場利差不如預期。"
"114/12/21","114/11","1313","聯成","塑膠工業","4909229","4607166","6239419","6.556373267210255","-21.319132438453003","54082267","66826083","-19.07012266452906","-"
"114/12/21","114/11","1314","中石化","塑膠工業","1101798","916515","1773749","20.21603574409584","-37.88309394395712","17869557","27922394","-36.00277612299289","-"
"114/12/21","114/11","1315","達新","塑膠工業","215851","147746","250146","46.09600259905513","-13.709993363875496","2111340","1949900","8.279398943535567","-"
"114/12/21","114/11","1316","上曜","建材營造","605369","412080","165388","46.90569792273345","266.0295789295475","3852714","1296662","197.125542354137","主因子公司營收上升，致本月及本年度營收較去年同期增加。"
"114/12/21","114/11","1319","東陽","汽車工業","2217502","2195574","2412005","0.9987365490755493","-8.063955091303708","22999643","23347998","-1.4920122915891976","-"
"114/12/21","114/11","1321","大洋","塑膠工業","255668","269831","411176","-5.248840941181703","-37.82030079576629","3275449","4309747","-23.999042171152972","-"
"114/12/21","114/11","1323","永裕","塑膠工業","168377","157925","158089","6.618331486465094","6.507726660298945","1857609","2474437","-24.928013928016757","-"
"114/12/21","114/11","1324","地球","塑膠工業","52854","62796","67346","-15.832218612650488","-21.518724200397944","667890","724580","-7.82384277788512","-"
"114/12/21","114/11","1325","恆大","塑膠工業","23153","20734","25351","11.666827433201505","-8.670269417379984","271844","295266","-7.932508314536723","-"
"114/12/21","114/11","1326","台化","塑膠工業","20881356","22146817","27254315","-5.713963320327251","-23.383302790769093","265061108","321300333","-17.503631096454544","-"
"114/12/21","114/11","1337","再生-KY","塑膠工業","46559","53741","64492","-13.36409817457807","-27.80654964956894","602310","737160","-18.293179228390038","-"
"114/12/21","114/11","1338","廣華-KY","汽車工業","470103","429504","453750","9.452531291908807","3.60396694214876","4787488","4577330","4.5912791955135415","-"
"114/12/21","114/11","1339","昭輝","汽車工業","120888","118034","177766","2.4179473710964636","-31.99599473465117","1528631","1751276","-12.713301615507778","-"
"114/12/21","114/11","1340","勝悅-KY","塑膠工業","3400","3624","30204","-6.181015452538631","-88.7432128194941","39195","347683","-88.72679998734479","11月份本年累計停業部門(鞋業)的營業收入淨額為新台幣113,268千元"
"114/12/21","114/11","1341","富林-KY","塑膠工業","198174","247305","252811","-19.86656153332929","-21.61179695503756","2324257","2522929","-7.874656797714086","-"
"114/12/21","114/11","1342","八貫","其他","219913","187267","209613","17.432863238050484","4.913817368197583","2506712","2233001","12.257540413103264","-"
"114/12/21","114/11","1402","遠東新","紡織纖維","21519377","23158144","22864590","-7.07641769564953","-5.883389992997906","229977507","246310805","-6.631173975498152","-"
"114/12/21","114/11","1409","新纖","紡織纖維","3055682","3214225","3876370","-4.932542059127783","-21.17155999040339","36246127","41396175","-12.440878897627618","-"
"114/12/21","114/11","1410","南染","紡織纖維","15175","18466","21240","-17.821943030434312","-28.55461393596987","175269","214738","-18.380072460393595","-"
"114/12/21","114/11","1413","宏洲","紡織纖維","153659","149002","183400","3.1254614032026415","-16.2164667393675","1964673","2111415","-6.9499364170473354","-"
"114/12/21","114/11","1414","東和","紡織纖維","35182","33330","38259","5.556555655565557","-8.042552079249328","427375","482727","-11.466522485794249","-"
"114/12/21","114/11","1416","廣豐","其他","36928","35582","31741","3.7828115339216457","16.34164014996377","321624","298728","7.664497469269704","-"
"114/12/21","114/11","1417","嘉裕","紡織纖維","64611","69746","32235","-7.362429386631492","100.43741275011634","371913","548004","-32.13315961197363","本月營收較去年同期增加，係因團體制服業務大批量訂單集中於本月出貨所致。"
"114/12/21","114/11","1418","東華","紡織纖維","1094","618","533","77.02265372168284","105.25328330206379","5312","9189","-42.19175100663837","配合客戶生產線出貨。"
"114/12/21","114/11","1419","新紡","紡織纖維","467734","425805","387105","9.846995690515612","20.828715723124215","4147430","3647278","13.713021052960592","-"
"114/12/21","114/11","1423","利華","紡織纖維","4526","5823","5885","-22.27374205735875","-23.092608326253185","77590","99321","-21.879562227524893","-"
"114/12/21","114/11","1432","大魯閣","運動休閒","98737","102685","93842","-3.8447679797438767","5.216214488182263","1210271","1154241","4.854272201386019","-"
"114/12/21","114/11","1434","福懋","紡織纖維","1929424","1906631","2148096","1.1954594255521913","-10.17980574424979","25275141","26291202","-3.864642628359099","-"
"114/12/21","114/11","1435","中福","其他","498","499","498","-0.20040080160320642","0.0","5483","10181","-46.144779491209114","-"
"114/12/21","114/11","1436","華友聯","建材營造","28584","35842","166725","-20.24998604988561","-82.85560053981106","3756590","6836123","-45.047946036079225","本月營收較去年同期減少，係本月交屋數量較去年同期減少所致。"
"114/12/21","114/11","1437","勤益控","其他","83552","80839","63261","3.356053390071624","32.07505414078184","857822","765415","12.072797110064474","-"
"114/12/21","114/11","1438","三地開發","建材營造","458122","509841","0","-10.1441429779088","","988580","1166647","-15.263143007267837","本月較去年同期增加，係本月建案交屋認列收入所致。"
"114/12/21","114/11","1439","雋揚","建材營造","18164","4617","4848","293.4156378600823","274.66996699669966","538721","88287","510.1928936309989","主係本公司按持有比例陸續認列聯合營運建案交屋之營收。"
"114/12/21","114/11","1440","南紡","紡織纖維","991299","1128840","1227931","-12.184277665568194","-19.27078964534652","13264015","15970246","-16.945455943508946","-"
"114/12/21","114/11","1441","大東","紡織纖維","124052","126504","139933","-1.9382786315057232","-11.349002737024147","1389552","1498691","-7.282288343627872","-"
"114/12/21","114/11","1442","名軒","建材營造","200789","177761","320374","12.954472578349582","-37.32668693464513","3073449","8631176","-64.39130658440982","本月認收16戶，去年同期認收28戶；本年累計認收267戶，去年累計認收738戶，故兩期差異大。"
"114/12/21","114/11","1443","立益物流","其他","76553","76889","82752","-0.4369935881595547","-7.491057617942769","904339","840962","7.536250151612083","-"
"114/12/21","114/11","1444","力麗","紡織纖維","566802","665266","667626","-14.800696262848245","-15.101868411356058","6568636","7541526","-12.900439513170147","-"
"114/12/21","114/11","1445","大宇","紡織纖維","47108","78413","84793","-39.92322701592848","-44.44352717795101","704690","934393","-24.58312508762373","-"
"114/12/21","114/11","1446","宏和","紡織纖維","13991","9171","11254","52.55697306727729","24.3202416918429","1011016","3539860","-71.43909646144198","本月營建無認列收入"
"114/12/21","114/11","1447","力鵬","紡織纖維","3023367","1779083","2338609","69.93962620068878","29.280568064178322","25963132","31937578","-18.706634548180205","-"
"114/12/21","114/11","1449","佳和","紡織纖維","269350","145793","192334","84.74823894151297","40.04284213919536","2220644","2693333","-17.55033633048717","-"
